GEOID,tract_ce6,spa,spa_num,sup_dist,pov_universe,pov_below,poverty_rate,median_income,households,high_poverty_25
06037132502,132502,SPA 2 - San Fernando,2,District 3,3314,527,0.15902232951116477,61354.0,1319,False
06037132700,132700,SPA 2 - San Fernando,2,District 3,4890,937,0.19161554192229038,81625.0,1696,False
06037132900,132900,SPA 2 - San Fernando,2,District 3,3877,340,0.08769667268506577,102825.0,1305,False
06037133000,133000,SPA 2 - San Fernando,2,District 3,4032,538,0.13343253968253968,100385.0,1386,False
06037133101,133101,SPA 2 - San Fernando,2,District 3,1709,76,0.044470450555880635,109211.0,634,False
06037133102,133102,SPA 2 - San Fernando,2,District 3,3774,621,0.16454689984101747,60741.0,1310,False
06037134001,134001,SPA 2 - San Fernando,2,District 3,3455,383,0.11085383502170768,90625.0,907,False
06037134002,134002,SPA 2 - San Fernando,2,District 3,4022,881,0.21904525111884635,72901.0,1217,False
06037134101,134101,SPA 2 - San Fernando,2,District 3,4646,1138,0.2449418854928971,92130.0,1378,False
06037134103,134103,SPA 2 - San Fernando,2,District 3,4080,1318,0.32303921568627453,78750.0,1314,True
06037134104,134104,SPA 2 - San Fernando,2,District 3,4016,717,0.1785358565737052,72866.0,1325,False
06037134201,134201,SPA 2 - San Fernando,2,District 3,4059,309,0.07612712490761271,99545.0,1302,False
06037134302,134302,SPA 2 - San Fernando,2,District 3,4402,609,0.13834620626987734,124779.0,1403,False
06037134303,134303,SPA 2 - San Fernando,2,District 3,5341,386,0.07227111027897397,109063.0,1939,False
06037134304,134304,SPA 2 - San Fernando,2,District 3,2667,353,0.13235845519310085,75104.0,919,False
06037134305,134305,SPA 2 - San Fernando,2,District 3,3693,605,0.16382344976983482,55042.0,1197,False
06037134306,134306,SPA 2 - San Fernando,2,District 3,3565,468,0.13127629733520338,53170.0,1422,False
06037134421,134421,SPA 2 - San Fernando,2,District 3,4401,149,0.033855941831401955,145048.0,1582,False
06037134422,134422,SPA 2 - San Fernando,2,District 3,5079,254,0.05000984445757039,168889.0,1632,False
06037134423,134423,SPA 2 - San Fernando,2,District 3,3417,367,0.10740415569212759,134018.0,1341,False
06037134424,134424,SPA 2 - San Fernando,2,District 3,2803,148,0.05280057081698181,153946.0,1049,False
06037134520,134520,SPA 2 - San Fernando,2,District 3,5178,1119,0.2161066048667439,55271.0,1994,False
06037134521,134521,SPA 2 - San Fernando,2,District 3,2703,769,0.2844987051424343,53413.0,763,True
06037134522,134522,SPA 2 - San Fernando,2,District 3,4521,1053,0.23291307232913072,56402.0,1434,False
06037134710,134710,SPA 2 - San Fernando,2,District 3,5282,1581,0.29931843998485425,54715.0,1578,True
06037134720,134720,SPA 2 - San Fernando,2,District 3,5545,733,0.1321911632100992,103553.0,1780,False
06037134801,134801,SPA 2 - San Fernando,2,District 3,2933,455,0.15513126491646778,94559.0,1132,False
06037134802,134802,SPA 2 - San Fernando,2,District 3,3116,981,0.31482670089858794,80547.0,872,True
06037134901,134901,SPA 2 - San Fernando,2,District 3,2469,200,0.08100445524503848,82435.0,1009,False
06037134904,134904,SPA 2 - San Fernando,2,District 3,4861,591,0.1215799218267846,98173.0,1442,False
06037134905,134905,SPA 2 - San Fernando,2,District 3,6046,996,0.16473701620906384,101628.0,3012,False
06037134906,134906,SPA 2 - San Fernando,2,District 3,2933,418,0.14251619502216162,86275.0,1146,False
06037134907,134907,SPA 2 - San Fernando,2,District 3,3806,962,0.2527588018917499,92020.0,1910,True
06037135102,135102,SPA 2 - San Fernando,2,District 3,3845,340,0.08842652795838751,154070.0,1284,False
06037135111,135111,SPA 2 - San Fernando,2,District 3,3807,317,0.08326766482794852,101157.0,1242,False
06037135113,135113,SPA 2 - San Fernando,2,District 3,2980,439,0.14731543624161073,112552.0,1333,False
06037135115,135115,SPA 2 - San Fernando,2,District 3,3904,219,0.05609631147540984,100108.0,1679,False
06037135116,135116,SPA 2 - San Fernando,2,District 3,1507,268,0.17783676177836763,58750.0,1039,False
06037135201,135201,SPA 2 - San Fernando,2,District 3,2936,443,0.15088555858310626,127917.0,870,False
06037135202,135202,SPA 2 - San Fernando,2,District 3,4745,419,0.08830347734457324,133839.0,1525,False
06037135204,135204,SPA 2 - San Fernando,2,District 3,4665,203,0.043515541264737403,128359.0,1679,False
06037135205,135205,SPA 2 - San Fernando,2,District 3,1874,170,0.09071504802561366,117031.0,770,False
06037137000,137000,SPA 2 - San Fernando,2,District 3,4815,332,0.06895119418483904,125938.0,1734,False
06037137103,137103,SPA 2 - San Fernando,2,District 3,5100,902,0.1768627450980392,85234.0,2468,False
06037137104,137104,SPA 2 - San Fernando,2,District 3,2233,230,0.10300044782803404,107153.0,983,False
06037137202,137202,SPA 2 - San Fernando,2,District 3,3342,454,0.13584679832435667,69526.0,1392,False
06037137203,137203,SPA 2 - San Fernando,2,District 3,2588,249,0.09621329211746522,149519.0,804,False
06037137301,137301,SPA 2 - San Fernando,2,District 3,2182,33,0.015123739688359304,188857.0,768,False
06037137302,137302,SPA 2 - San Fernando,2,District 3,4564,400,0.0876424189307625,176523.0,1556,False
06037137401,137401,SPA 2 - San Fernando,2,District 3,4596,394,0.08572671888598782,146406.0,1690,False
06037137402,137402,SPA 2 - San Fernando,2,District 3,5821,195,0.03349939872874077,143672.0,2069,False
06037137501,137501,SPA 2 - San Fernando,2,District 3,5478,806,0.1471339905074845,98555.0,1981,False
06037137502,137502,SPA 2 - San Fernando,2,District 3,4450,153,0.03438202247191011,144450.0,1751,False
06037137504,137504,SPA 2 - San Fernando,2,District 3,1889,70,0.037056643726839596,208750.0,666,False
06037138000,138000,SPA 2 - San Fernando,2,District 3,4777,157,0.032865815365292025,139855.0,1867,False
06037139001,139001,SPA 2 - San Fernando,2,District 3,5515,470,0.08522212148685404,113972.0,2275,False
06037139200,139200,SPA 2 - San Fernando,2,District 3,5758,427,0.07415769364362626,96690.0,2310,False
06037139301,139301,SPA 2 - San Fernando,2,District 3,4040,221,0.0547029702970297,162708.0,1476,False
06037139302,139302,SPA 2 - San Fernando,2,District 3,5001,854,0.17076584683063387,82066.0,2031,False
