spa_num,n_tracts,pov_universe,pov_below,pct_tracts_high_poverty,poverty_rate,median_income_wt
1,93,400983,58426,0.11827956989247312,0.1457069252312442,81920.97885191443
2,558,2158094,262676,0.08602150537634409,0.12171666294424617,102982.15749571413
3,392,1691945,188626,0.02806122448979592,0.1114847113824622,99589.04827744335
4,352,1089775,204940,0.2471590909090909,0.18805716776398798,79440.18759048957
5,185,619121,61640,0.032432432432432434,0.0995605059431032,129000.8315479112
6,245,983912,212026,0.363265306122449,0.2154928489539715,63248.828144718005
7,290,1241991,149499,0.05862068965517241,0.12037043746693817,88335.75574549953
8,380,1507606,184643,0.08157894736842106,0.12247430694757118,101208.98030042587
